ID	Gender	Start	End
speaker0	F	0.00000	1.09000
speaker0	F	1.65000	2.60000
speaker1	M	3.07000	4.56000
speaker2	M	7.35000	20.74000
speaker0	F	20.74000	23.20000
speaker3	F	23.20000	24.73000
speaker0	F	24.73000	27.33000
speaker4	F	29.98000	41.44000
speaker3	F	41.44000	43.91000
speaker1	M	46.53000	75.32000
speaker0	F	76.14000	78.75000
speaker0	F	79.98000	90.58000
speaker4	F	90.58000	97.64000
speaker3	F	97.64000	129.35001
speaker4	F	129.35001	134.85001
speaker3	F	134.85001	152.25999
speaker4	F	152.25999	156.28000
